subID,group,manipulation,time,n_entries
142,short_training,devaluation,pre,5
142,short_training,devaluation,post,3
142,short_training,still_valued,pre,5
142,short_training,still_valued,post,66
142,short_training,still_valued_post_deval,pre,5
142,short_training,still_valued_post_deval,post,171
143,short_training,devaluation,pre,5
143,short_training,devaluation,post,40
143,short_training,still_valued,pre,5
143,short_training,still_valued,post,48
143,short_training,still_valued_post_deval,pre,5
143,short_training,still_valued_post_deval,post,39
146,short_training,devaluation,pre,5
146,short_training,devaluation,post,2
146,short_training,still_valued,pre,5
146,short_training,still_valued,post,527
146,short_training,still_valued_post_deval,pre,5
146,short_training,still_valued_post_deval,post,993
147,short_training,devaluation,pre,5
147,short_training,devaluation,post,15
147,short_training,still_valued,pre,7
147,short_training,still_valued,post,12
147,short_training,still_valued_post_deval,pre,7
147,short_training,still_valued_post_deval,post,3
149,short_training,devaluation,pre,5
149,short_training,devaluation,post,5
149,short_training,still_valued,pre,6
149,short_training,still_valued,post,42
149,short_training,still_valued_post_deval,pre,5
149,short_training,still_valued_post_deval,post,8
153,short_training,devaluation,pre,5
153,short_training,devaluation,post,3
153,short_training,still_valued,pre,5
153,short_training,still_valued,post,141
153,short_training,still_valued_post_deval,pre,5
153,short_training,still_valued_post_deval,post,142
154,short_training,devaluation,pre,5
154,short_training,devaluation,post,4
154,short_training,still_valued,pre,5
154,short_training,still_valued,post,9
154,short_training,still_valued_post_deval,pre,5
154,short_training,still_valued_post_deval,post,5
155,short_training,devaluation,pre,5
155,short_training,devaluation,post,1
155,short_training,still_valued,pre,6
155,short_training,still_valued,post,34
155,short_training,still_valued_post_deval,pre,5
155,short_training,still_valued_post_deval,post,9
156,short_training,devaluation,pre,5
156,short_training,devaluation,post,6
156,short_training,still_valued,pre,6
156,short_training,still_valued,post,68
156,short_training,still_valued_post_deval,pre,5
156,short_training,still_valued_post_deval,post,17
157,short_training,devaluation,pre,6
157,short_training,devaluation,post,0
157,short_training,still_valued,pre,5
157,short_training,still_valued,post,36
157,short_training,still_valued_post_deval,pre,5
157,short_training,still_valued_post_deval,post,11
158,short_training,devaluation,pre,5
158,short_training,devaluation,post,7
158,short_training,still_valued,pre,5
158,short_training,still_valued,post,13
158,short_training,still_valued_post_deval,pre,5
158,short_training,still_valued_post_deval,post,17
159,short_training,devaluation,pre,5
159,short_training,devaluation,post,3
159,short_training,still_valued,pre,5
159,short_training,still_valued,post,19
159,short_training,still_valued_post_deval,pre,5
159,short_training,still_valued_post_deval,post,9
160,short_training,devaluation,pre,5
160,short_training,devaluation,post,5
160,short_training,still_valued,pre,5
160,short_training,still_valued,post,270
160,short_training,still_valued_post_deval,pre,5
160,short_training,still_valued_post_deval,post,129
161,short_training,devaluation,pre,5
161,short_training,devaluation,post,1
161,short_training,still_valued,pre,5
161,short_training,still_valued,post,13
161,short_training,still_valued_post_deval,pre,5
161,short_training,still_valued_post_deval,post,8
162,short_training,devaluation,pre,5
162,short_training,devaluation,post,1
162,short_training,still_valued,pre,5
162,short_training,still_valued,post,9
162,short_training,still_valued_post_deval,pre,5
162,short_training,still_valued_post_deval,post,7
163,short_training,devaluation,pre,5
163,short_training,devaluation,post,12
163,short_training,still_valued,pre,5
163,short_training,still_valued,post,42
163,short_training,still_valued_post_deval,pre,5
163,short_training,still_valued_post_deval,post,13
164,short_training,devaluation,pre,5
164,short_training,devaluation,post,11
164,short_training,still_valued,pre,5
164,short_training,still_valued,post,186
164,short_training,still_valued_post_deval,pre,5
164,short_training,still_valued_post_deval,post,33
165,short_training,devaluation,pre,5
165,short_training,devaluation,post,1
165,short_training,still_valued,pre,5
165,short_training,still_valued,post,31
165,short_training,still_valued_post_deval,pre,7
165,short_training,still_valued_post_deval,post,15
203,long_training,devaluation,pre,5
203,long_training,devaluation,post,14
203,long_training,still_valued,pre,5
203,long_training,still_valued,post,52
203,long_training,still_valued_post_deval,pre,5
203,long_training,still_valued_post_deval,post,14
204,long_training,devaluation,pre,5
204,long_training,devaluation,post,6
204,long_training,still_valued,pre,5
204,long_training,still_valued,post,12
204,long_training,still_valued_post_deval,pre,5
204,long_training,still_valued_post_deval,post,2
206,long_training,devaluation,pre,5
206,long_training,devaluation,post,8
206,long_training,still_valued,pre,6
206,long_training,still_valued,post,31
206,long_training,still_valued_post_deval,pre,5
206,long_training,still_valued_post_deval,post,17
207,long_training,devaluation,pre,5
207,long_training,devaluation,post,33
207,long_training,still_valued,pre,5
207,long_training,still_valued,post,70
