"","subj","pers","alpha","beta_1_MB","beta_1_MF","beta_2"
"1",101,0.619413356869277,0.191365065514889,0.0796460685999393,1.03059914498595,0.881973445355326
"2",105,0.619802459495071,0.0635267008425899,-0.000559470055960679,0.38747697941353,0.636442475450466
"3",106,0.162464710276669,0.34413715958849,0.106359440568963,0.20660320077787,0.500180171090422
"4",107,0.25713174334232,0.172038805292205,-0.0948435999164537,0.211664390124076,0.233319314660126
"5",108,-0.0623036275365972,0.206076586784011,0.184949776310672,0.0913391780985584,0.368442416268042
"6",111,-0.0548214616372404,0.269452296744801,0.13797856568653,0.220503432977653,0.829520811539098
"7",114,0.608736356674654,0.327782809036974,0.107657003947891,0.832026355284059,1.59457741417647
"8",115,0.522021109410509,0.169559718396068,0.040044103148328,0.728423024297129,1.01692954246556
"9",116,0.43657445940508,0.54124694336795,0.0608329270073706,0.695358926551465,0.864268400363048
"10",117,0.00816090638466653,0.164812208470244,-0.0248660659075471,-0.0866648970457927,0.429843345532161
"11",119,0.20702768983889,0.275449894126456,0.055983392075177,0.469836314970811,0.16283733921845
"12",123,0.218975799404407,0.0991722099702534,0.0493226961871124,0.216582501395096,0.316284660807561
"13",124,0.282521713899124,0.11428318980653,0.077253667570415,0.376073549356396,0.47076045998285
"14",125,0.0209054043666646,0.253959976073275,0.0715771000830867,-0.18125818883517,-0.103425835942332
"15",127,0.281003861198093,0.534705120424046,0.0830741957992717,0.645414580336717,1.33770642551651
"16",128,-0.0329322596019806,0.270485537539812,0.0530286681876522,0.295727645032735,0.642260161203211
"17",130,0.809406998638729,0.183546035264746,0.0276669095440481,0.340990730096578,1.26272949323918
"18",131,0.510294461847888,0.134094078794886,-0.00786788958012285,0.514233192476344,0.571083002344441
"19",133,0.0882249455358312,0.494431016992456,-0.023130542533361,0.166179351836226,0.443563612561795
"20",134,0.514020130615179,0.253531977450558,0.0545627051571202,1.04539429943557,1.27503625095637
"21",135,0.191959806504647,0.294026792411889,0.0528347239205094,0.22353224781738,0.703198115016433
"22",136,0.503864080790911,0.11715151329431,0.0602292068585352,0.451841443139176,0.53391409324771
"23",137,0.607007300823051,0.185568938029265,0.115520417353057,0.700023850358021,1.69147110498074
"24",138,0.581617223815412,0.204542035600953,0.113780498210752,0.697306183922347,1.97709925020707
"25",142,0.32090849976051,0.214547301688394,0.124214479458053,0.725396908174918,0.921035946987219
"26",143,-0.0847619478294625,0.339767079282885,-0.00113938416467503,0.0233242941189499,0.0432486689639982
"27",146,0.404440156608393,0.116443169307269,0.0567492006018544,0.820011746967997,0.696931318103831
"28",147,0.353892593517094,0.114241384035305,0.0211458758752605,-0.0882829113164839,0.424560617560019
"29",153,0.150023075148954,0.186925958098302,0.119760014396535,0.412345788544229,1.5015202307838
"30",154,0.39711412912555,0.185081138811874,0.0195726222572909,0.0703854197221366,0.795088504389256
"31",155,0.0551128806840891,0.306933727775602,0.0683932682039751,-0.056275989469506,-0.137294893129444
"32",156,0.0514124549851303,0.300118082487216,0.0105173317522524,0.251111444653284,0.33444595395192
"33",157,0.0660022705679638,0.118160260009464,0.0515298350048073,0.417400467916967,0.108553696542954
"34",158,0.59441856190358,0.105083168919336,0.0441352213659878,0.403459710298242,0.717568613901572
"35",159,0.624487974381806,0.158295633578932,0.10742719768143,0.451018835379929,0.240777087317004
"36",160,0.509874752007763,0.232504839545658,0.0642065822582113,0.287551762383743,0.654215483626291
"37",161,0.364506335165365,0.0878724016897198,0.0311763457492789,0.334254164405297,0.744429998817917
"38",162,0.168114125044304,0.597867527831748,0.106376533949447,0.35111415128547,1.70689719496881
"39",163,0.322998740934392,0.100522563564723,0.0908277212511752,0.465593604472647,0.226227715819391
"40",164,-0.138493165792826,0.302387331046739,0.00352985809783399,0.172303661860625,0.0351663941064096
"41",165,0.0408848235328176,0.503141098843199,0.0247060685096298,0.343420478953851,0.491508398947716
"42",204,0.0127607763936604,0.361348180731039,0.0125539034154974,0.0799204590713589,0.06834044181577
"43",206,0.589532902587939,0.326578650230114,0.0746924713119875,0.478981680314446,0.744657554186468
"44",207,-0.00832978362152192,0.35138641128256,0.00409565903460964,0.097038377575518,0.023020009350508
"45",210,0.405999462206477,0.153500325139128,0.0562414532328316,0.922828994887229,0.757238138610403
"46",211,0.171704245763985,0.260814907485927,0.0496908523709322,0.102118421195339,0.448253128139145
"47",212,-0.111875988143373,0.356817079602265,0.050442748123708,0.129972483613109,0.32678728039778
"48",213,0.474342812344309,0.307603478746665,0.0564616862388805,0.835672611977646,1.73482582684475
"49",216,0.597987605307009,0.123141598491056,0.0756640687334554,0.589489285652302,0.25577442103138
"50",218,0.232582146485809,0.149540629818718,0.103996508459108,0.519237957095694,1.30210568610151
"51",223,-0.0800799808264862,0.33835305086371,0.0727617980887896,0.06804158645321,1.37573010802237
"52",225,0.225866805474736,0.524075925483598,0.055567647649676,1.04100307629354,1.77973253208196
"53",226,0.329705431335881,0.162175442157493,0.0509861069403074,0.0602557813224877,0.665454955509828
"54",228,0.0866502825971554,0.425021028534195,0.0899654140765273,0.11799025373804,0.532180855308458
"55",229,0.453905684739438,0.118590985143343,0.0418443040336125,0.831234875304167,0.927189533141294
"56",230,0.437243643559057,0.310928624957983,0.0620548992613324,0.519243223235582,0.377987311412595
"57",232,0.314030732293244,0.297465084891565,-0.0207641868466221,0.270886256396183,0.311379871146866
"58",233,0.627732027571758,0.089325558774423,-0.0182353695221192,0.19477751406936,0.570372507627253
"59",236,0.923444200784979,0.207711406041765,0.05306730683539,0.756929262822906,1.24917469209002
"60",237,0.283325235120112,0.387840343764081,0.0899599266665701,0.403424216789335,0.628794187984626
"61",239,0.227738264462678,0.508008887910448,0.0736853223412313,0.624935499836585,1.29823689357529
"62",241,0.24987994422148,0.200999033841494,0.118250760693385,0.265750598207165,0.691626196457001
"63",242,0.254144046017967,0.336901945807026,0.0365584093236395,-0.0248827247058846,0.157180574355177
"64",244,0.622539332916985,0.138073439757712,0.0529331885847301,0.814227920427165,0.613560715861679
"65",245,0.134146422135132,0.230107520604172,0.0512271040982995,0.791929285038445,0.855924786269663
"66",246,0.735598378818174,0.331799730488995,0.112501472426622,0.792365013426673,1.96603902997621
